Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 93, 78, 101, 0.3876008987426758, AAFMFramework
1, 5, 100, 92, 158, 202, 0.3810086250305176, Interoperability
2, 7, 100, 96, 243, 303, 0.3889615535736084, Packages
3, 10, 100, 94, 320, 404, 0.3760218620300293, ParserTechnology
4, 12, 100, 95, 400, 505, 0.3841252326965332, System
5, 13, 100, 94, 480, 606, 0.36601924896240234, APISolvers
6, 22, 100, 93, 563, 707, 0.40547728538513184, pyPicosat
7, 20, 100, 98, 661, 808, 0.3840000629425049, antlr4-python3-runtime
8, 19, 100, 97, 758, 909, 0.36801934242248535, lark-parser
9, 19, 100, 99, 857, 1010, 0.3640251159667969, SimpleParse
10, 18, 100, 97, 954, 1111, 0.3779881000518799, Metamodels
11, 20, 100, 100, 1054, 1212, 0.3620288372039795, AutomatedReasoning
12, 21, 100, 91, 1145, 1313, 0.3939638137817383, FeatureIDE
13, 20, 100, 96, 1241, 1414, 0.3946878910064697, SPLOT
14, 19, 100, 93, 1334, 1515, 0.38097119331359863, UVL
15, 18, 100, 94, 1428, 1616, 0.35988616943359375, ebnf
16, 17, 100, 97, 1525, 1717, 0.3580482006072998, Linux
17, 16, 100, 91, 1616, 1818, 0.35205078125, Solvers
18, 19, 100, 94, 1710, 1919, 0.36601877212524414, Operations
19, 26, 100, 86, 1796, 2020, 0.4109013080596924, MiniSAT
20, 25, 100, 86, 1882, 2121, 0.3840019702911377, PicoSAT
21, 24, 100, 86, 1968, 2222, 0.37303590774536133, Glucose
22, 23, 100, 82, 2050, 2323, 0.37402796745300293, Lingeling
23, 22, 100, 85, 2135, 2424, 0.3610341548919678, ValidModel
24, 21, 100, 77, 2212, 2525, 0.36302995681762695, ValidConfiguration
25, 20, 100, 78, 2290, 2626, 0.39350152015686035, ValidProduct
26, 19, 100, 64, 2354, 2727, 0.3670485019683838, AllProducts
27, 18, 100, 66, 2420, 2828, 0.3610677719116211, DeadFeatures
28, 17, 100, 52, 2472, 2929, 0.36302804946899414, CoreFeatures
29, 16, 100, 55, 2527, 3030, 0.3451056480407715, ErrorDetection
30, 15, 100, 44, 2571, 3131, 0.3331332206726074, ErrorDiagnosis
31, 14, 100, 31, 2602, 3232, 0.32712531089782715, python-sat
32, 13, 100, 49, 2651, 3333, 0.3231992721557617, pycosat
33, 12, 100, 39, 2690, 3434, 0.31818485260009766, pylgl
34, 11, 100, 39, 2729, 3535, 0.36305737495422363, pyglucose
35, 10, 100, 21, 2750, 3636, 0.3171243667602539, pycryptosat
36, 9, 100, 13, 2763, 3737, 0.3151571750640869, satyrn
37, 8, 100, 6, 2769, 3838, 0.3131904602050781, satispy
38, 7, 100, 7, 2776, 3939, 0.31971168518066406, umo
39, 6, 100, 1, 2777, 4040, 0.3271524906158447, pydepqbf
40, 5, 100, 0, 2777, 4141, 0.3340787887573242, FeatureModel
41, 4, 100, 0, 2777, 4242, 0.3490939140319824, CNFModel
42, 3, 100, 0, 2777, 4343, 0.3700380325317383, DecisionModel
43, 2, 100, 0, 2777, 4398, 0.44586706161499023, DepMng
44, 5, 100, 0, 2777, 4398, 0.44611597061157227, pip
45, 5, 100, 0, 2777, 4398, 0.38995862007141113, setuptools
46, 4, 100, 0, 2777, 4398, 0.3321681022644043, wheel
47, 3, 100, 0, 2777, 4398, 0.2769200801849365, pkg-resources
48, 2, 100, 0, 2777, 4398, 0.21839070320129395, pipdeptree
49, 1, 100, 0, 2777, 4398, 0.16558599472045898, Utils
50, 2, 100, 0, 2777, 4398, 0.11173534393310547, six
51, 1, 100, 0, 2777, 4398, 0.05684638023376465, pybind11
