Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AAFMFramework, 21, 25, 1.19, 0.08, BLUE
Packages, 33, 45, 1.36, 0.28, GREEN
Utils, 37, 51, 1.38, 0.29, GREEN
six, 28, 45, 1.61, 0.55, YELLOW
pybind11, 24, 35, 1.46, 0.38, GREEN
ParserTechnology, 36, 61, 1.69, 0.65, ORANGE
antlr4-python3-runtime, 36, 60, 1.67, 0.62, ORANGE
SimpleParse, 27, 50, 1.85, 0.83, RED
lark-parser, 27, 38, 1.41, 0.33, GREEN
ebnf, 17, 28, 1.65, 0.6, ORANGE
DepMng, 23, 38, 1.65, 0.6, ORANGE
pip, 18, 29, 1.61, 0.56, YELLOW
pipdeptree, 21, 27, 1.29, 0.19, BLUE
setuptools, 94, 175, 1.86, 0.84, RED
wheel, 19, 27, 1.42, 0.34, GREEN
pkg-resources, 19, 29, 1.53, 0.46, YELLOW
APISolvers, 29, 47, 1.62, 0.57, YELLOW
python-sat, 55, 86, 1.56, 0.5, YELLOW
pycosat, 54, 91, 1.69, 0.64, ORANGE
pylgl, 21, 30, 1.43, 0.35, GREEN
pyPicosat, 51, 100, 1.96, 0.96, RED
pyglucose, 58, 105, 1.81, 0.78, ORANGE
pycryptosat, 60, 112, 1.87, 0.85, RED
satyrn, 63, 118, 1.87, 0.86, RED
satispy, 66, 128, 1.94, 0.93, RED
umo, 75, 136, 1.81, 0.79, ORANGE
pydepqbf, 98, 191, 1.95, 0.94, RED
Metamodels, 47, 71, 1.51, 0.44, YELLOW
FeatureModel, 143, 283, 1.98, 0.98, RED
CNFModel, 118, 232, 1.97, 0.96, RED
DecisionModel, 99, 193, 1.95, 0.94, RED
AutomatedReasoning, 57, 82, 1.44, 0.36, GREEN
Operations, 30, 48, 1.6, 0.54, YELLOW
ValidModel, 32, 53, 1.66, 0.61, ORANGE
ValidConfiguration, 30, 42, 1.4, 0.32, GREEN
ValidProduct, 17, 30, 1.76, 0.73, ORANGE
AllProducts, 19, 30, 1.58, 0.52, YELLOW
DeadFeatures, 22, 35, 1.59, 0.53, YELLOW
CoreFeatures, 17, 21, 1.24, 0.13, BLUE
ErrorDetection, 34, 53, 1.56, 0.5, YELLOW
ErrorDiagnosis, 38, 61, 1.61, 0.55, YELLOW
Solvers, 29, 43, 1.48, 0.41, YELLOW
MiniSAT, 46, 75, 1.63, 0.58, YELLOW
PicoSAT, 20, 30, 1.5, 0.43, YELLOW
Glucose, 38, 57, 1.5, 0.43, YELLOW
Lingeling, 44, 70, 1.59, 0.53, YELLOW
Interoperability, 26, 30, 1.15, 0.04, BLUE
FeatureIDE, 15, 21, 1.4, 0.32, GREEN
SPLOT, 19, 23, 1.21, 0.1, BLUE
UVL, 33, 37, 1.12, 0.0, BLUE
System, 35, 42, 1.2, 0.09, BLUE
Linux, 31, 45, 1.45, 0.38, GREEN
Win, 2, 4, 2.0, 1.0, RED
