Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Application, 52, 30, 0.58, 0.79, ORANGE
Authentication, 26, -10, -0.38, 0.31, GREEN
BackEnd, 38, -6, -0.16, 0.42, YELLOW
Cassandra, 0, 0, 0, 0.5, YELLOW
ClusteredSession, 87, 67, 0.77, 0.89, RED
Cucumber, 103, 89, 0.86, 0.93, RED
Database, 40, -10, -0.25, 0.38, GREEN
Development, 20, 6, 0.3, 0.65, ORANGE
DiskBased, 32, 20, 0.62, 0.81, RED
Docker, 39, 5, 0.13, 0.56, YELLOW
EhCache, 4, 2, 0.5, 0.75, ORANGE
ElasticSearch, 41, 19, 0.46, 0.73, ORANGE
Gatling, 116, 104, 0.9, 0.95, RED
Generator, 37, 9, 0.24, 0.62, ORANGE
Gradle, 32, 14, 0.44, 0.72, ORANGE
H2, 19, 9, 0.47, 0.74, ORANGE
HTTPSession, 1, -1, -1.0, 0.0, BLUE
HazelCast, 36, 32, 0.89, 0.94, RED
Hibernate2ndLvlCache, 27, 13, 0.48, 0.74, ORANGE
InMemory, 1, -1, -1.0, 0.0, BLUE
InternationalizationSupport, 147, 129, 0.88, 0.94, RED
JHipster, 21, -1, -0.05, 0.48, YELLOW
JWT, 0, 0, 0, 0.5, YELLOW
Libsass, 92, 68, 0.74, 0.87, RED
MariaDB, 1, 1, 1.0, 1.0, RED
MariaDBDev, 1, 1, 1.0, 1.0, RED
Maven, 2, 2, 1.0, 1.0, RED
MicroserviceApplication, 0, 0, 0, 0.5, YELLOW
MicroserviceGateway, 0, 0, 0, 0.5, YELLOW
MongoDB, 2, -2, -1.0, 0.0, BLUE
Monolithic, 58, 50, 0.86, 0.93, RED
MySQL, 31, 5, 0.16, 0.58, YELLOW
MySql, 1, 1, 1.0, 1.0, RED
OAuth2, 30, -16, -0.53, 0.23, GREEN
PostgreSQL, 1, -1, -1.0, 0.0, BLUE
PostgreSQLDev, 0, 0, 0, 0.5, YELLOW
Production, 23, 13, 0.57, 0.78, ORANGE
Protractor, 84, 70, 0.83, 0.92, RED
SQL, 32, 12, 0.38, 0.69, ORANGE
Server, 2, -2, -1.0, 0.0, BLUE
SocialLogin, 6, -4, -0.67, 0.17, BLUE
SpringWebSockets, 77, 59, 0.77, 0.88, RED
TestingFrameworks, 39, 3, 0.08, 0.54, YELLOW
Uaa, 1, 1, 1.0, 1.0, RED
UaaServer, 0, 0, 0, 0.5, YELLOW
