Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Application, 49, -3, -0.06, 0.47, YELLOW
Authentication, 22, -4, -0.18, 0.41, YELLOW
BackEnd, 48, -2, -0.04, 0.48, YELLOW
Cassandra, 0, 0, 0, 0, WHITE
ClusteredSession, 56, -10, -0.18, 0.41, YELLOW
Cucumber, 36, -10, -0.28, 0.36, GREEN
Database, 46, -14, -0.3, 0.35, GREEN
Development, 34, 10, 0.29, 0.65, ORANGE
DiskBased, 0, 0, 0, 0, WHITE
Docker, 46, -10, -0.22, 0.39, GREEN
EhCache, 36, 36, 1.0, 1.0, RED
ElasticSearch, 40, 34, 0.85, 0.93, RED
Gatling, 71, 43, 0.61, 0.8, RED
Generator, 38, -22, -0.58, 0.21, GREEN
Gradle, 47, 37, 0.79, 0.89, RED
H2, 1, 1, 1.0, 1.0, RED
HTTPSession, 0, 0, 0, 0, WHITE
HazelCast, 42, 42, 1.0, 1.0, RED
Hibernate2ndLvlCache, 34, 2, 0.06, 0.53, YELLOW
InMemory, 0, 0, 0, 0, WHITE
InternationalizationSupport, 40, -10, -0.25, 0.38, GREEN
JHipster, 21, 7, 0.33, 0.67, ORANGE
JWT, 0, 0, 0, 0, WHITE
Libsass, 47, -13, -0.28, 0.36, GREEN
MariaDB, 89, 89, 1.0, 1.0, RED
MariaDBDev, 33, 31, 0.94, 0.97, RED
Maven, 19, 5, 0.26, 0.63, ORANGE
MicroserviceApplication, 0, 0, 0, 0, WHITE
MicroserviceGateway, 0, 0, 0, 0, WHITE
MongoDB, 8, -8, -1.0, 0.0, BLUE
Monolithic, 53, 41, 0.77, 0.89, RED
MySQL, 3, -1, -0.33, 0.33, GREEN
MySql, 1, 1, 1.0, 1.0, RED
OAuth2, 31, -3, -0.1, 0.45, YELLOW
PostgreSQL, 2, 2, 1.0, 1.0, RED
PostgreSQLDev, 1, -1, -1.0, 0.0, BLUE
Production, 34, 16, 0.47, 0.74, ORANGE
Protractor, 102, 78, 0.76, 0.88, RED
SQL, 31, 7, 0.23, 0.61, ORANGE
Server, 0, 0, 0, 0, WHITE
SocialLogin, 5, -3, -0.6, 0.2, GREEN
SpringWebSockets, 95, 67, 0.71, 0.85, RED
TestingFrameworks, 35, 1, 0.03, 0.51, YELLOW
Uaa, 1, 1, 1.0, 1.0, RED
UaaServer, 0, 0, 0, 0, WHITE
