Method, Iterations, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s)
"UCT Algorithm", 1, 28, 1, 31, 17, 56, 0.1496281623840332
"UCT Algorithm", 100, 20, 100, 119, 78, 212, 1.3397183418273926
"UCT Algorithm", 200, 15, 200, 106, 77, 217, 1.5002527236938477
"UCT Algorithm", 300, 20, 300, 162, 82, 407, 4.756995439529419
"UCT Algorithm", 400, 15, 400, 110, 64, 219, 2.265397787094116
"UCT Algorithm", 500, 15, 500, 92, 57, 180, 2.195711612701416
"UCT Algorithm", 600, 24, 600, 135, 103, 266, 8.735941410064697
"UCT Algorithm", 700, 24, 700, 138, 112, 315, 12.007389307022095
"UCT Algorithm", 800, 24, 800, 147, 87, 365, 15.498286724090576
"UCT Algorithm", 900, 24, 900, 133, 92, 272, 13.085941314697266
"UCT Algorithm", 1000, 19, 1000, 199, 112, 380, 11.171047449111938
"UCT Algorithm", 1100, 24, 1100, 152, 116, 321, 18.40663766860962
