Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Greedy MCTS (iters=1)", 1, 12, 1, 15, 10, 0.6666666666666666, 23, 0.01105499267578125
"Greedy MCTS (iters=250)", 250, 12, 250, 28, 17, 0.6071428571428571, 49, 0.16948795318603516
"Greedy MCTS (iters=500)", 500, 12, 500, 27, 22, 0.8148148148148148, 55, 0.352247953414917
"Greedy MCTS (iters=750)", 750, 12, 750, 30, 18, 0.6, 50, 0.4855163097381592
"Greedy MCTS (iters=1000)", 1000, 9, 1000, 29, 12, 0.41379310344827586, 65, 0.7094383239746094
"Greedy MCTS (iters=1250)", 1250, 12, 1250, 30, 18, 0.6, 53, 0.8285431861877441
"Greedy MCTS (iters=1500)", 1500, 12, 1500, 19, 6, 0.3157894736842105, 55, 0.9985854625701904
"Greedy MCTS (iters=1750)", 1750, 12, 1750, 28, 19, 0.6785714285714286, 58, 1.233247995376587
"Greedy MCTS (iters=2000)", 2000, 11, 2000, 21, 7, 0.3333333333333333, 45, 1.1882078647613525
"Greedy MCTS (iters=2250)", 2250, 12, 2250, 38, 25, 0.6578947368421053, 54, 1.4964828491210938
"Greedy MCTS (iters=2500)", 2500, 12, 2500, 22, 10, 0.45454545454545453, 55, 1.7536611557006836
"Greedy MCTS (iters=2750)", 2750, 12, 2750, 30, 22, 0.7333333333333333, 53, 1.74222731590271
"Greedy MCTS (iters=3000)", 3000, 10, 3000, 35, 21, 0.6, 58, 1.9561078548431396
"Greedy MCTS (iters=3250)", 3250, 12, 3250, 26, 16, 0.6153846153846154, 50, 2.0893290042877197
"Greedy MCTS (iters=3500)", 3500, 12, 3500, 31, 23, 0.7419354838709677, 54, 2.300609827041626
"Greedy MCTS (iters=3750)", 3750, 12, 3750, 30, 19, 0.6333333333333333, 58, 2.5073158740997314
"Greedy MCTS (iters=4000)", 4000, 7, 4000, 31, 18, 0.5806451612903226, 60, 2.2666430473327637
"Greedy MCTS (iters=4250)", 4250, 12, 4250, 31, 25, 0.8064516129032258, 60, 2.958174705505371
"Greedy MCTS (iters=4500)", 4500, 12, 4500, 33, 26, 0.7878787878787878, 60, 3.0500407218933105
"Greedy MCTS (iters=4750)", 4750, 12, 4750, 28, 20, 0.7142857142857143, 51, 2.9110677242279053
"Greedy MCTS (iters=5000)", 5000, 7, 5000, 36, 20, 0.5555555555555556, 53, 2.5904407501220703
