Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"UCT Algorithm (iters=1, ew=0.5)", 1, 12, 1, 16, 10, 0.625, 23, 0.010227441787719727
"UCT Algorithm (iters=250, ew=0.5)", 250, 12, 250, 57, 44, 0.7719298245614035, 234, 0.6250777244567871
"UCT Algorithm (iters=500, ew=0.5)", 500, 12, 500, 59, 44, 0.7457627118644068, 173, 0.953021764755249
"UCT Algorithm (iters=750, ew=0.5)", 750, 12, 750, 54, 44, 0.8148148148148148, 240, 1.8725616931915283
"UCT Algorithm (iters=1000, ew=0.5)", 1000, 12, 1000, 52, 44, 0.8461538461538461, 237, 2.399742603302002
"UCT Algorithm (iters=1250, ew=0.5)", 1250, 12, 1250, 59, 44, 0.7457627118644068, 168, 2.2389185428619385
"UCT Algorithm (iters=1500, ew=0.5)", 1500, 12, 1500, 54, 44, 0.8148148148148148, 239, 3.621173620223999
"UCT Algorithm (iters=1750, ew=0.5)", 1750, 12, 1750, 56, 44, 0.7857142857142857, 257, 4.497611999511719
"UCT Algorithm (iters=2000, ew=0.5)", 2000, 12, 2000, 53, 44, 0.8301886792452831, 240, 4.938306570053101
"UCT Algorithm (iters=2250, ew=0.5)", 2250, 12, 2250, 56, 44, 0.7857142857142857, 239, 5.518848180770874
"UCT Algorithm (iters=2500, ew=0.5)", 2500, 12, 2500, 54, 44, 0.8148148148148148, 238, 6.137280464172363
"UCT Algorithm (iters=2750, ew=0.5)", 2750, 12, 2750, 54, 44, 0.8148148148148148, 243, 6.70962929725647
"UCT Algorithm (iters=3000, ew=0.5)", 3000, 10, 3000, 28, 11, 0.39285714285714285, 72, 2.5149857997894287
"UCT Algorithm (iters=3250, ew=0.5)", 3250, 12, 3250, 58, 44, 0.7586206896551724, 165, 5.667065858840942
"UCT Algorithm (iters=3500, ew=0.5)", 3500, 12, 3500, 58, 44, 0.7586206896551724, 248, 8.937400817871094
"UCT Algorithm (iters=3750, ew=0.5)", 3750, 12, 3750, 59, 44, 0.7457627118644068, 252, 9.737454891204834
"UCT Algorithm (iters=4000, ew=0.5)", 4000, 12, 4000, 56, 44, 0.7857142857142857, 247, 10.205754280090332
"UCT Algorithm (iters=4250, ew=0.5)", 4250, 12, 4250, 34, 23, 0.6764705882352942, 155, 7.295150279998779
"UCT Algorithm (iters=4500, ew=0.5)", 4500, 12, 4500, 52, 44, 0.8461538461538461, 228, 10.373043060302734
"UCT Algorithm (iters=4750, ew=0.5)", 4750, 12, 4750, 52, 36, 0.6923076923076923, 247, 11.6901376247406
"UCT Algorithm (iters=5000, ew=0.5)", 5000, 12, 5000, 54, 44, 0.8148148148148148, 233, 11.842812776565552
