Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"flat Monte Carlo (iters=1)", 1, 8, 1, 13, 4, 0.3076923076923077, 0, 0.00508427619934082
"flat Monte Carlo (iters=250)", 250, 11, 250, 104, 44, 0.4230769230769231, 0, 0.8342492580413818
"flat Monte Carlo (iters=500)", 500, 7, 500, 109, 44, 0.4036697247706422, 0, 1.081468105316162
"flat Monte Carlo (iters=750)", 750, 10, 750, 110, 44, 0.4, 0, 1.7346141338348389
"flat Monte Carlo (iters=1000)", 1000, 10, 1000, 110, 44, 0.4, 0, 2.608494281768799
"flat Monte Carlo (iters=1250)", 1250, 10, 1250, 110, 44, 0.4, 0, 3.5516161918640137
"flat Monte Carlo (iters=1500)", 1500, 8, 1500, 110, 44, 0.4, 0, 3.755584955215454
"flat Monte Carlo (iters=1750)", 1750, 12, 1750, 110, 44, 0.4, 0, 5.457801818847656
"flat Monte Carlo (iters=2000)", 2000, 10, 2000, 110, 44, 0.4, 0, 5.680721044540405
"flat Monte Carlo (iters=2250)", 2250, 10, 2250, 110, 44, 0.4, 0, 6.464761972427368
"flat Monte Carlo (iters=2500)", 2500, 6, 2500, 110, 44, 0.4, 0, 4.8649582862854
"flat Monte Carlo (iters=2750)", 2750, 8, 2750, 110, 44, 0.4, 0, 6.54267692565918
"flat Monte Carlo (iters=3000)", 3000, 5, 3000, 110, 44, 0.4, 0, 5.007957935333252
"flat Monte Carlo (iters=3250)", 3250, 6, 3250, 110, 44, 0.4, 0, 6.257598161697388
"flat Monte Carlo (iters=3500)", 3500, 11, 3500, 110, 44, 0.4, 0, 10.222354888916016
"flat Monte Carlo (iters=3750)", 3750, 5, 3750, 110, 44, 0.4, 0, 6.269981861114502
"flat Monte Carlo (iters=4000)", 4000, 8, 4000, 110, 44, 0.4, 0, 9.499462842941284
"flat Monte Carlo (iters=4250)", 4250, 8, 4250, 110, 44, 0.4, 0, 9.880974531173706
"flat Monte Carlo (iters=4500)", 4500, 8, 4500, 110, 44, 0.4, 0, 10.122976541519165
"flat Monte Carlo (iters=4750)", 4750, 5, 4750, 110, 44, 0.4, 0, 7.902479648590088
"flat Monte Carlo (iters=5000)", 5000, 11, 5000, 110, 44, 0.4, 0, 15.230652332305908
