Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"flat Monte Carlo", 1, 0, 1, 2, 2, 1.0, 0, 0.00797891616821289
"flat Monte Carlo", 250, 0, 250, 206, 163, 0.7912621359223301, 0, 0.8268780708312988
"flat Monte Carlo", 500, 0, 500, 403, 334, 0.8287841191066998, 0, 1.5658166408538818
"flat Monte Carlo", 750, 0, 750, 599, 495, 0.8263772954924875, 0, 2.4136080741882324
"flat Monte Carlo", 1000, 0, 1000, 785, 655, 0.8343949044585988, 0, 3.273108720779419
"flat Monte Carlo", 1250, 0, 1250, 955, 813, 0.8513089005235602, 0, 4.030117034912109
"flat Monte Carlo", 1500, 0, 1500, 1135, 923, 0.813215859030837, 0, 4.850101709365845
"flat Monte Carlo", 1750, 0, 1750, 1301, 1071, 0.8232129131437356, 0, 5.700356960296631
"flat Monte Carlo", 2000, 0, 2000, 1466, 1227, 0.8369713506139154, 0, 6.594645738601685
"flat Monte Carlo", 2250, 0, 2250, 1617, 1305, 0.8070500927643784, 0, 7.268441915512085
"flat Monte Carlo", 2500, 0, 2500, 1814, 1498, 0.8257993384785005, 0, 8.003134727478027
"flat Monte Carlo", 2750, 0, 2750, 1961, 1638, 0.8352881183069862, 0, 8.69363284111023
"flat Monte Carlo", 3000, 0, 3000, 2124, 1755, 0.826271186440678, 0, 9.870104312896729
"flat Monte Carlo", 3250, 0, 3250, 2298, 1909, 0.8307223672758921, 0, 10.397127866744995
"flat Monte Carlo", 3500, 0, 3500, 2446, 2051, 0.8385118560915781, 0, 11.570943117141724
"flat Monte Carlo", 3750, 0, 3750, 2636, 2166, 0.8216995447647951, 0, 12.40064525604248
"flat Monte Carlo", 4000, 0, 4000, 2783, 2295, 0.8246496586417535, 0, 13.538960933685303
"flat Monte Carlo", 4250, 0, 4250, 2907, 2460, 0.846233230134159, 0, 13.725919723510742
"flat Monte Carlo", 4500, 0, 4500, 3099, 2553, 0.8238141335914811, 0, 14.819836616516113
"flat Monte Carlo", 4750, 0, 4750, 3238, 2664, 0.8227300802964793, 0, 15.597826957702637
"flat Monte Carlo", 5000, 0, 5000, 3428, 2865, 0.8357642940490082, 0, 17.355579137802124
