Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Greedy MCTS", 1, 0, 1, 2, 1, 0.5, 2, 0.0139923095703125
"Greedy MCTS", 250, 0, 250, 120, 71, 0.5916666666666667, 251, 1.0671782493591309
"Greedy MCTS", 500, 0, 500, 173, 83, 0.4797687861271676, 501, 2.2659740447998047
"Greedy MCTS", 750, 0, 750, 109, 70, 0.6422018348623854, 247, 1.3006598949432373
"Greedy MCTS", 1000, 0, 1000, 219, 121, 0.5525114155251142, 652, 3.509049654006958
"Greedy MCTS", 1250, 0, 1250, 136, 74, 0.5441176470588235, 303, 2.0914957523345947
"Greedy MCTS", 1500, 0, 1500, 167, 84, 0.5029940119760479, 356, 2.4858527183532715
"Greedy MCTS", 1750, 0, 1750, 156, 67, 0.42948717948717946, 442, 3.440938711166382
"Greedy MCTS", 2000, 0, 2000, 158, 110, 0.6962025316455697, 354, 3.6583755016326904
"Greedy MCTS", 2250, 0, 2250, 213, 154, 0.7230046948356808, 453, 4.96476149559021
"Greedy MCTS", 2500, 0, 2500, 85, 54, 0.6352941176470588, 257, 2.4634265899658203
"Greedy MCTS", 2750, 0, 2750, 91, 51, 0.5604395604395604, 268, 2.800022840499878
"Greedy MCTS", 3000, 0, 3000, 100, 68, 0.68, 266, 2.8869895935058594
"Greedy MCTS", 3250, 0, 3250, 159, 127, 0.7987421383647799, 337, 5.022934198379517
"Greedy MCTS", 3500, 0, 3500, 249, 152, 0.6104417670682731, 554, 8.1043860912323
"Greedy MCTS", 3750, 0, 3750, 125, 72, 0.576, 315, 4.080315589904785
"Greedy MCTS", 4000, 0, 4000, 152, 92, 0.6052631578947368, 374, 5.0437774658203125
"Greedy MCTS", 4250, 0, 4250, 109, 71, 0.6513761467889908, 252, 3.7800486087799072
"Greedy MCTS", 4500, 0, 4500, 154, 108, 0.7012987012987013, 319, 6.164728879928589
"Greedy MCTS", 4750, 0, 4750, 114, 74, 0.6491228070175439, 284, 4.487108945846558
"Greedy MCTS", 5000, 0, 5000, 103, 56, 0.5436893203883495, 286, 4.838113069534302
