Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"UCT Algorithm", 1, 0, 1, 2, 2, 1.0, 2, 0.01000213623046875
"UCT Algorithm", 250, 0, 250, 141, 103, 0.7304964539007093, 251, 1.1658644676208496
"UCT Algorithm", 500, 0, 500, 174, 108, 0.6206896551724138, 501, 2.019624710083008
"UCT Algorithm", 750, 0, 750, 309, 154, 0.49838187702265374, 751, 3.858368396759033
"UCT Algorithm", 1000, 0, 1000, 186, 133, 0.7150537634408602, 1001, 3.743117570877075
"UCT Algorithm", 1250, 0, 1250, 295, 231, 0.7830508474576271, 1251, 5.6765663623809814
"UCT Algorithm", 1500, 0, 1500, 366, 263, 0.7185792349726776, 1501, 7.005958557128906
"UCT Algorithm", 1750, 0, 1750, 216, 131, 0.6064814814814815, 1751, 6.304758787155151
"UCT Algorithm", 2000, 0, 2000, 432, 347, 0.8032407407407407, 2001, 9.923887252807617
"UCT Algorithm", 2250, 0, 2250, 271, 185, 0.6826568265682657, 2251, 8.861411333084106
"UCT Algorithm", 2500, 0, 2500, 281, 197, 0.701067615658363, 2501, 10.142009973526001
"UCT Algorithm", 2750, 0, 2750, 495, 415, 0.8383838383838383, 2751, 14.298418045043945
"UCT Algorithm", 3000, 0, 3000, 477, 426, 0.8930817610062893, 3001, 16.26495862007141
"UCT Algorithm", 3250, 0, 3250, 210, 130, 0.6190476190476191, 3251, 15.33912968635559
"UCT Algorithm", 3500, 0, 3500, 626, 459, 0.7332268370607029, 3501, 20.28009009361267
"UCT Algorithm", 3750, 0, 3750, 346, 231, 0.6676300578034682, 3751, 18.370537996292114
"UCT Algorithm", 4000, 0, 4000, 601, 513, 0.8535773710482529, 4001, 24.33834433555603
"UCT Algorithm", 4250, 0, 4250, 593, 514, 0.866779089376054, 4251, 26.725684881210327
"UCT Algorithm", 4500, 0, 4500, 283, 159, 0.5618374558303887, 4480, 24.498008012771606
"UCT Algorithm", 4750, 0, 4750, 652, 571, 0.8757668711656442, 4751, 31.25522208213806
"UCT Algorithm", 5000, 0, 5000, 354, 239, 0.6751412429378532, 5001, 28.50047016143799
