Method, Iterations, PositiveEvaluations, Percentage
Random Sampling,  1,  0, 0.0
Random Sampling,  250,  186, 0.744
Random Sampling,  500,  376, 0.752
Random Sampling,  750,  578, 0.7706666666666667
Random Sampling,  1000,  769, 0.769
Random Sampling,  1250,  950, 0.76
Random Sampling,  1500,  1144, 0.7626666666666667
Random Sampling,  1750,  1342, 0.7668571428571429
Random Sampling,  2000,  1534, 0.767
Random Sampling,  2250,  1732, 0.7697777777777778
Random Sampling,  2500,  1908, 0.7632
Random Sampling,  2750,  2106, 0.7658181818181818
Random Sampling,  3000,  2319, 0.773
Random Sampling,  3250,  2515, 0.7738461538461539
Random Sampling,  3500,  2699, 0.7711428571428571
Random Sampling,  3750,  2874, 0.7664
Random Sampling,  4000,  3104, 0.776
Random Sampling,  4250,  3258, 0.7665882352941177
Random Sampling,  4500,  3440, 0.7644444444444445
Random Sampling,  4750,  3650, 0.7684210526315789
Random Sampling,  5000,  3838, 0.7676

