Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Authentication, 11, 1, 0.09, 0.71, ORANGE
ClusteredSession, 7, -1, -0.14, 0.55, YELLOW
Database, 110, 60, 0.55, 1.0, RED
Docker, 34, 8, 0.24, 0.8, RED
Generator, 16, 2, 0.12, 0.73, ORANGE
Gradle, 25, 5, 0.2, 0.78, ORANGE
InternationalizationSupport, 1, -1, -1.0, 0.0, BLUE
Libsass, 41, 11, 0.27, 0.82, RED
Maven, 1, -1, -1.0, 0.0, BLUE
SocialLogin, 8, 0, 0.0, 0.65, ORANGE
SpringWebSockets, 5, -1, -0.2, 0.52, YELLOW
TestingFrameworks, 10, 0, 0.0, 0.65, ORANGE
