Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 94, 78, 101, 0.40500569343566895, AAFMFramework
1, 5, 100, 91, 157, 202, 0.42232728004455566, Interoperability
2, 7, 100, 88, 230, 303, 0.4034249782562256, UVL
3, 6, 100, 89, 308, 404, 0.4284360408782959, AutomatedReasoning
4, 7, 100, 89, 384, 505, 0.4403350353240967, Packages
5, 10, 100, 92, 465, 606, 0.43354129791259766, DepMng
6, 13, 100, 86, 536, 707, 0.4485442638397217, pip
7, 13, 100, 89, 604, 808, 0.42618608474731445, FeatureIDE
8, 12, 100, 80, 671, 909, 0.44472265243530273, Operations
9, 19, 100, 82, 739, 1010, 0.4502573013305664, APISolvers
10, 28, 100, 93, 826, 1111, 0.4520537853240967, satispy
11, 27, 100, 84, 893, 1212, 0.4457566738128662, umo
12, 26, 100, 90, 973, 1313, 0.45951390266418457, pydepqbf
13, 25, 100, 84, 1047, 1414, 0.44826626777648926, ValidProduct
14, 24, 100, 77, 1113, 1515, 0.45146989822387695, CoreFeatures
15, 23, 100, 72, 1174, 1616, 0.4467315673828125, ParserTechnology
16, 25, 100, 78, 1245, 1717, 0.4416389465332031, pyPicosat
17, 24, 100, 76, 1321, 1818, 0.46251988410949707, lark-parser
18, 24, 100, 71, 1392, 1919, 0.4398174285888672, SPLOT
19, 23, 100, 69, 1461, 2020, 0.42682647705078125, ValidModel
20, 22, 100, 62, 1523, 2121, 0.42868685722351074, ValidConfiguration
21, 21, 100, 60, 1583, 2222, 0.42073845863342285, AllProducts
22, 20, 100, 51, 1634, 2323, 0.42337489128112793, DeadFeatures
23, 19, 100, 57, 1691, 2424, 0.410785436630249, ErrorDetection
24, 18, 100, 52, 1743, 2525, 0.4366114139556885, ErrorDiagnosis
25, 17, 100, 50, 1793, 2626, 0.3927333354949951, ebnf
26, 16, 100, 39, 1832, 2727, 0.39076995849609375, Utils
27, 17, 100, 48, 1880, 2828, 0.37787294387817383, six
28, 16, 100, 48, 1928, 2929, 0.36988186836242676, pybind11
29, 15, 100, 46, 1974, 3030, 0.35303235054016113, setuptools
30, 14, 100, 48, 2022, 3131, 0.33969998359680176, wheel
31, 13, 100, 53, 2075, 3232, 0.32515859603881836, pkg-resources
32, 12, 100, 46, 2121, 3333, 0.37134552001953125, antlr4-python3-runtime
33, 11, 100, 51, 2172, 3434, 0.33271121978759766, SimpleParse
34, 10, 100, 40, 2212, 3535, 0.3201742172241211, Solvers
35, 13, 100, 36, 2248, 3636, 0.33017802238464355, MiniSAT
36, 12, 100, 31, 2279, 3737, 0.3070549964904785, PicoSAT
37, 11, 100, 30, 2309, 3838, 0.29805898666381836, Glucose
38, 10, 100, 13, 2322, 3939, 0.30199384689331055, Lingeling
39, 9, 100, 16, 2338, 4040, 0.2920353412628174, pipdeptree
40, 8, 100, 8, 2346, 4141, 0.2921946048736572, Metamodels
41, 10, 100, 3, 2349, 4242, 0.28092145919799805, FeatureModel
42, 9, 100, 2, 2351, 4343, 0.27153992652893066, CNFModel
43, 8, 100, 3, 2354, 4444, 0.27165746688842773, DecisionModel
44, 7, 100, 0, 2354, 4545, 0.30069875717163086, System
45, 7, 100, 0, 2354, 4575, 0.3987894058227539, Linux
46, 6, 100, 0, 2354, 4575, 0.3645908832550049, python-sat
