Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 40, 25, 101, 0.032935380935668945, AAFMFramework
1, 3, 100, 11, 36, 202, 0.03493475914001465, Solvers
2, 5, 100, 1, 36, 238, 0.036910057067871094, Packages
3, 8, 100, 0, 36, 238, 0.03291440010070801, pyPicosat
4, 7, 100, 0, 36, 238, 0.03015875816345215, System
5, 7, 100, 0, 36, 238, 0.027952909469604492, Linux
6, 6, 100, 0, 36, 238, 0.022937774658203125, python-sat
7, 5, 100, 0, 36, 238, 0.01894688606262207, pycosat
8, 4, 100, 0, 36, 238, 0.014936208724975586, pyglucose
9, 3, 100, 0, 36, 238, 0.010998964309692383, MiniSAT
