Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 77, 37, 101, 0.5726268291473389, JHipster
1, 11, 100, 55, 63, 202, 0.5133414268493652, BackEnd
2, 12, 100, 45, 91, 303, 0.4115025997161865, Database
3, 14, 100, 27, 113, 404, 0.297682523727417, Cassandra
4, 10, 100, 16, 128, 505, 0.3049182891845703, Docker
5, 9, 100, 11, 139, 606, 0.27228546142578125, Generator
6, 10, 100, 15, 154, 707, 0.24042510986328125, Authentication
7, 12, 100, 17, 171, 808, 0.22576379776000977, TestingFrameworks
8, 14, 100, 9, 180, 909, 0.23793935775756836, SpringWebSockets
9, 12, 100, 4, 184, 1010, 0.2105414867401123, Libsass
10, 11, 100, 0, 184, 1111, 0.1795492172241211, ClusteredSession
11, 10, 100, 0, 184, 1212, 0.1555466651916504, InternationalizationSupport
12, 9, 100, 0, 184, 1313, 0.132706880569458, Application
13, 10, 100, 0, 184, 1414, 0.11272740364074707, MicroserviceGateway
14, 7, 100, 0, 184, 1437, 0.1011512279510498, Uaa
15, 5, 100, 0, 184, 1437, 0.07981705665588379, Gradle
16, 3, 100, 0, 184, 1437, 0.05890178680419922, Gatling
17, 2, 100, 0, 184, 1437, 0.03886532783508301, Cucumber
18, 1, 100, 0, 184, 1437, 0.01994633674621582, Protractor
