Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CoreFeatures, 17, 34, 2.0, 1.0, RED
DeadFeatures, 15, 29, 1.93, 0.67, ORANGE
DepMng, 1, 2, 2.0, 1.0, RED
ErrorDetection, 1, 2, 2.0, 1.0, RED
ErrorDiagnosis, 1, 2, 2.0, 1.0, RED
Glucose, 1, 2, 2.0, 1.0, RED
Lingeling, 1, 2, 2.0, 1.0, RED
Linux, 1, 2, 2.0, 1.0, RED
Metamodels, 40, 79, 1.98, 0.88, RED
MiniSAT, 1, 2, 2.0, 1.0, RED
PicoSAT, 1, 2, 2.0, 1.0, RED
SPLOT, 16, 31, 1.94, 0.69, ORANGE
SimpleParse, 1, 2, 2.0, 1.0, RED
Utils, 1, 2, 2.0, 1.0, RED
ValidModel, 5, 9, 1.8, 0.0, BLUE
ValidProduct, 16, 31, 1.94, 0.69, ORANGE
ebnf, 1, 2, 2.0, 1.0, RED
