Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
CNFModel, 8, 16, 2.0, 1.0, RED
DecisionModel, 8, 16, 2.0, 1.0, RED
DepMng, 8, 16, 2.0, 1.0, RED
FeatureIDE, 8, 16, 2.0, 1.0, RED
FeatureModel, 8, 16, 2.0, 1.0, RED
Linux, 7, 14, 2.0, 1.0, RED
Operations, 8, 16, 2.0, 1.0, RED
SPLOT, 4, 7, 1.75, 0.0, BLUE
SimpleParse, 7, 14, 2.0, 1.0, RED
Solvers, 8, 16, 2.0, 1.0, RED
UVL, 8, 16, 2.0, 1.0, RED
Utils, 7, 14, 2.0, 1.0, RED
antlr4-python3-runtime, 7, 14, 2.0, 1.0, RED
ebnf, 7, 14, 2.0, 1.0, RED
pydepqbf, 8, 16, 2.0, 1.0, RED
