Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 98, 79, 101, 0.7487738132476807, AAFMFramework
1, 5, 100, 94, 158, 202, 0.740847110748291, Packages
2, 8, 100, 99, 252, 303, 0.7517859935760498, ParserTechnology
3, 10, 100, 98, 349, 404, 0.7187826633453369, APISolvers
4, 19, 100, 96, 444, 505, 0.7206399440765381, pyPicosat
5, 18, 100, 99, 543, 606, 0.6861159801483154, umo
6, 17, 100, 96, 639, 707, 0.6638929843902588, pylgl
7, 16, 100, 97, 736, 808, 0.6623353958129883, Interoperability
8, 18, 100, 88, 824, 909, 0.6849157810211182, System
9, 18, 100, 89, 913, 1010, 0.6693055629730225, AutomatedReasoning
10, 19, 100, 97, 1010, 1111, 0.6924638748168945, lark-parser
11, 19, 100, 96, 1106, 1212, 0.691448450088501, Metamodels
12, 21, 100, 94, 1200, 1313, 0.7024455070495605, python-sat
13, 20, 100, 90, 1290, 1414, 0.6586196422576904, pycosat
14, 19, 100, 90, 1380, 1515, 0.6642534732818604, pyglucose
15, 18, 100, 81, 1461, 1616, 0.665898323059082, satyrn
16, 17, 100, 80, 1541, 1717, 0.6456708908081055, pycryptosat
17, 16, 100, 82, 1623, 1818, 0.5983679294586182, satispy
18, 15, 100, 83, 1706, 1919, 0.6068010330200195, pydepqbf
19, 14, 100, 78, 1784, 2020, 0.6239004135131836, Solvers
20, 17, 100, 79, 1863, 2121, 0.6146349906921387, Operations
21, 24, 100, 74, 1937, 2222, 0.62296462059021, FeatureIDE
22, 23, 100, 68, 2005, 2323, 0.6224591732025146, SPLOT
23, 22, 100, 61, 2066, 2424, 0.6159281730651855, UVL
24, 21, 100, 63, 2129, 2525, 0.5860340595245361, CNFModel
25, 20, 100, 67, 2196, 2626, 0.5946040153503418, ValidModel
26, 19, 100, 59, 2255, 2727, 0.5432465076446533, FeatureModel
27, 18, 100, 53, 2308, 2828, 0.532351016998291, DecisionModel
28, 17, 100, 55, 2363, 2929, 0.5187430381774902, ValidProduct
29, 16, 100, 43, 2406, 3030, 0.5033235549926758, ValidConfiguration
30, 15, 100, 39, 2445, 3131, 0.47259044647216797, DeadFeatures
31, 14, 100, 36, 2481, 3232, 0.44997286796569824, AllProducts
32, 13, 100, 23, 2504, 3333, 0.44727540016174316, ErrorDetection
33, 12, 100, 21, 2525, 3434, 0.4344451427459717, CoreFeatures
34, 11, 100, 13, 2538, 3535, 0.42113637924194336, ErrorDiagnosis
35, 10, 100, 5, 2543, 3636, 0.4485902786254883, Utils
36, 11, 100, 16, 2559, 3737, 0.41370224952697754, antlr4-python3-runtime
37, 10, 100, 10, 2569, 3838, 0.37676477432250977, DepMng
38, 13, 100, 12, 2581, 3939, 0.381483793258667, ebnf
39, 12, 100, 2, 2583, 4040, 0.35575103759765625, pip
40, 12, 100, 6, 2589, 4141, 0.3420529365539551, setuptools
41, 11, 100, 8, 2597, 4242, 0.32326793670654297, wheel
42, 10, 100, 2, 2599, 4343, 0.3051028251647949, pkg-resources
43, 9, 100, 1, 2600, 4444, 0.2773294448852539, SimpleParse
44, 8, 100, 0, 2600, 4545, 0.2819333076477051, MiniSAT
45, 7, 100, 0, 2600, 4615, 0.3235020637512207, PicoSAT
46, 6, 100, 0, 2600, 4615, 0.3147916793823242, Glucose
47, 5, 100, 0, 2600, 4615, 0.26120853424072266, Lingeling
48, 4, 100, 0, 2600, 4615, 0.21185588836669922, Linux
49, 3, 100, 0, 2600, 4615, 0.1561145782470703, six
50, 2, 100, 0, 2600, 4615, 0.10287594795227051, pybind11
