Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 0, 100, 92, 74, 0, 0.6876819133758545, AAFMFramework
1, 0, 100, 87, 147, 0, 0.683466911315918, AutomatedReasoning
2, 0, 100, 84, 222, 0, 0.8293051719665527, Interoperability
3, 0, 100, 83, 286, 0, 0.7739193439483643, Solvers
4, 0, 100, 81, 358, 0, 0.8280103206634521, SPLOT
5, 0, 100, 79, 423, 0, 0.7942028045654297, PicoSAT
6, 0, 100, 79, 494, 0, 0.784984827041626, Glucose
7, 0, 100, 77, 560, 0, 0.7875964641571045, FeatureIDE
8, 0, 100, 77, 626, 0, 0.7683780193328857, Metamodels
9, 0, 100, 68, 687, 0, 0.7854561805725098, Lingeling
10, 0, 100, 75, 755, 0, 0.771324872970581, CNFModel
11, 0, 100, 73, 822, 0, 0.7691738605499268, UVL
12, 0, 100, 72, 879, 0, 0.7361910343170166, DecisionModel
13, 0, 100, 72, 943, 0, 0.7406606674194336, MiniSAT
14, 0, 100, 73, 1008, 0, 0.7218668460845947, Packages
15, 0, 100, 73, 1071, 0, 0.7196683883666992, DepMng
16, 0, 100, 67, 1126, 0, 0.7241036891937256, pip
17, 0, 100, 71, 1189, 0, 0.6938900947570801, ParserTechnology
18, 0, 100, 66, 1248, 0, 0.7101781368255615, SimpleParse
19, 0, 100, 74, 1320, 0, 0.689763069152832, FeatureModel
20, 0, 100, 72, 1386, 0, 0.6749916076660156, antlr4-python3-runtime
21, 0, 100, 70, 1450, 0, 0.6824417114257812, setuptools
22, 0, 100, 69, 1507, 0, 0.6593120098114014, System
23, 0, 100, 74, 1572, 0, 0.6439061164855957, APISolvers
24, 0, 100, 83, 1652, 0, 0.5808725357055664, pyglucose
25, 0, 100, 80, 1724, 0, 0.5397722721099854, satyrn
26, 0, 100, 86, 1809, 0, 0.4861466884613037, pylgl
27, 0, 100, 90, 1897, 0, 0.4364297389984131, Win
28, 0, 100, 82, 1979, 0, 0.40437769889831543, Operations
29, 0, 100, 76, 2055, 0, 0.43010687828063965, satispy
30, 0, 100, 73, 2128, 0, 0.36045050621032715, Utils
31, 0, 100, 75, 2203, 0, 0.3307304382324219, ValidProduct
32, 0, 100, 74, 2277, 0, 0.31981945037841797, pkg-resources
33, 0, 100, 65, 2342, 0, 0.3029932975769043, CoreFeatures
34, 0, 100, 71, 2413, 0, 0.271087646484375, pydepqbf
35, 0, 100, 58, 2471, 0, 0.24706602096557617, pipdeptree
36, 0, 100, 46, 2517, 0, 0.2305006980895996, lark-parser
37, 0, 100, 43, 2560, 0, 0.24559855461120605, six
38, 0, 100, 35, 2595, 0, 0.20066118240356445, pybind11
39, 0, 100, 35, 2630, 0, 0.16616368293762207, pycosat
