Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 25, 18, 52, 0.058467864990234375, AAFMFramework
1, 3, 100, 0, 18, 52, 0.009953498840332031, Packages
2, 6, 100, 0, 18, 52, 0.008983373641967773, pyPicosat
3, 5, 100, 0, 18, 52, 0.007935047149658203, System
4, 5, 100, 0, 18, 52, 0.0071125030517578125, Solvers
5, 7, 100, 0, 18, 52, 0.006183624267578125, python-sat
6, 6, 100, 0, 18, 52, 0.005055904388427734, pycosat
7, 5, 100, 0, 18, 52, 0.004294395446777344, pyglucose
8, 4, 100, 0, 18, 52, 0.003371715545654297, MiniSAT
9, 3, 100, 0, 18, 52, 0.002450227737426758, PicoSAT
10, 2, 100, 0, 18, 52, 0.0016453266143798828, Glucose
11, 1, 100, 0, 18, 52, 0.0009291172027587891, Linux
