Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 51, 39, 101, 0.05118870735168457, AAFMFramework
1, 3, 100, 5, 44, 162, 0.03690481185913086, System
2, 4, 100, 0, 44, 162, 0.021648168563842773, Packages
3, 7, 100, 0, 44, 162, 0.019819021224975586, pyPicosat
4, 5, 100, 0, 44, 162, 0.01778125762939453, Solvers
5, 7, 100, 0, 44, 162, 0.01643538475036621, python-sat
6, 6, 100, 0, 44, 162, 0.013760805130004883, pycosat
7, 5, 100, 0, 44, 162, 0.01127314567565918, pyglucose
8, 4, 100, 0, 44, 162, 0.009012699127197266, MiniSAT
9, 3, 100, 0, 44, 162, 0.006559848785400391, PicoSAT
10, 2, 100, 0, 44, 162, 0.004458189010620117, Glucose
11, 1, 100, 0, 44, 162, 0.0024633407592773438, Linux
