Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 62, 29, 101, 0.7088494300842285, JHipster
1, 11, 100, 43, 59, 202, 0.511246919631958, InternationalizationSupport
2, 10, 100, 19, 78, 284, 0.26130127906799316, Libsass
3, 9, 100, 0, 78, 284, 0.0797586441040039, Authentication
4, 12, 100, 0, 78, 284, 0.07363724708557129, Uaa
5, 7, 100, 0, 78, 284, 0.06929349899291992, Generator
6, 7, 100, 0, 78, 284, 0.0671844482421875, Application
7, 7, 100, 0, 78, 284, 0.06362175941467285, MicroserviceGateway
8, 6, 100, 0, 78, 284, 0.06060338020324707, BackEnd
9, 7, 100, 0, 78, 284, 0.057503461837768555, Gradle
10, 5, 100, 0, 78, 284, 0.05501985549926758, TestingFrameworks
11, 7, 100, 0, 78, 284, 0.05188918113708496, Database
12, 9, 100, 0, 78, 284, 0.048540592193603516, SQL
13, 10, 100, 0, 78, 284, 0.04512143135070801, SpringWebSockets
14, 9, 100, 0, 78, 284, 0.042183637619018555, ClusteredSession
15, 8, 100, 0, 78, 284, 0.03838062286376953, Docker
16, 7, 100, 0, 78, 284, 0.0352015495300293, Development
17, 10, 100, 0, 78, 284, 0.03192138671875, H2
18, 8, 100, 0, 78, 284, 0.029486417770385742, DiskBased
19, 6, 100, 0, 78, 284, 0.025665998458862305, Production
20, 8, 100, 0, 78, 284, 0.0225827693939209, MySQL
21, 5, 100, 0, 78, 284, 0.018894672393798828, Hibernate2ndLvlCache
22, 6, 100, 0, 78, 284, 0.015918254852294922, HazelCast
23, 4, 100, 0, 78, 284, 0.012287378311157227, ElasticSearch
24, 3, 100, 0, 78, 284, 0.00952291488647461, Gatling
25, 2, 100, 0, 78, 284, 0.0060939788818359375, Cucumber
26, 1, 100, 0, 78, 284, 0.003607034683227539, Protractor
