Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
BackEnd, 4, 2, 0.5, 0.75, ORANGE
Cucumber, 2, 0, 0.0, 0.5, YELLOW
Database, 5, 3, 0.6, 0.8, RED
Docker, 4, 2, 0.5, 0.75, ORANGE
Gatling, 1, -1, -1.0, 0.0, BLUE
Generator, 3, 1, 0.33, 0.67, ORANGE
HTTPSession, 1, -1, -1.0, 0.0, BLUE
InternationalizationSupport, 1, -1, -1.0, 0.0, BLUE
JWT, 2, 0, 0.0, 0.5, YELLOW
Libsass, 3, 1, 0.33, 0.67, ORANGE
OAuth2, 1, -1, -1.0, 0.0, BLUE
Protractor, 4, 2, 0.5, 0.75, ORANGE
SocialLogin, 2, 0, 0.0, 0.5, YELLOW
SpringWebSockets, 4, 2, 0.5, 0.75, ORANGE
Uaa, 95, 95, 1.0, 1.0, RED
