Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 77, 47, 101, 0.7860124111175537, JHipster
1, 11, 100, 46, 73, 202, 0.7070176601409912, TestingFrameworks
2, 13, 100, 51, 98, 303, 0.6996915340423584, ClusteredSession
3, 12, 100, 47, 127, 404, 0.6212000846862793, Authentication
4, 15, 100, 38, 161, 505, 0.5338928699493408, Uaa
5, 10, 100, 27, 187, 606, 0.4691922664642334, Generator
6, 10, 100, 20, 207, 707, 0.45185065269470215, Application
7, 10, 100, 18, 225, 808, 0.40308308601379395, MicroserviceGateway
8, 9, 100, 11, 236, 909, 0.41103196144104004, BackEnd
9, 10, 100, 11, 247, 1010, 0.33254003524780273, Gradle
10, 8, 100, 7, 254, 1111, 0.25629639625549316, Database
11, 10, 100, 18, 272, 1212, 0.3291444778442383, SQL
12, 11, 100, 33, 305, 1313, 0.4942021369934082, SpringWebSockets
13, 10, 100, 26, 330, 1414, 0.44423818588256836, Libsass
14, 9, 100, 14, 344, 1515, 0.3914480209350586, InternationalizationSupport
15, 8, 100, 6, 350, 1616, 0.35865354537963867, Docker
16, 7, 100, 4, 354, 1717, 0.308974027633667, Development
17, 10, 100, 2, 356, 1818, 0.27036118507385254, H2
18, 8, 100, 2, 358, 1919, 0.2579212188720703, DiskBased
19, 6, 100, 3, 361, 2020, 0.20965909957885742, Production
20, 8, 100, 0, 361, 2121, 0.18350577354431152, MySQL
21, 5, 100, 0, 361, 2135, 0.15445852279663086, Hibernate2ndLvlCache
22, 6, 100, 0, 361, 2135, 0.12723970413208008, HazelCast
23, 4, 100, 0, 361, 2135, 0.1029050350189209, ElasticSearch
24, 3, 100, 0, 361, 2135, 0.07613492012023926, Gatling
25, 2, 100, 0, 361, 2135, 0.04981732368469238, Cucumber
26, 1, 100, 0, 361, 2135, 0.025641679763793945, Protractor
