Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AAFMFramework, 201, 201, 1.0, 1.0, RED
APISolvers, 2755, 2755, 1.0, 1.0, RED
AllProducts, 3407, 3407, 1.0, 1.0, RED
AutomatedReasoning, 1249, 1249, 1.0, 1.0, RED
CNFModel, 2568, 2568, 1.0, 1.0, RED
CoreFeatures, 3759, 3759, 1.0, 1.0, RED
DeadFeatures, 3582, 3582, 1.0, 1.0, RED
DecisionModel, 2733, 2733, 1.0, 1.0, RED
DepMng, 2121, 2121, 1.0, 1.0, RED
ErrorDetection, 3938, 3938, 1.0, 1.0, RED
ErrorDiagnosis, 4119, 4119, 1.0, 1.0, RED
FeatureIDE, 1924, 1924, 1.0, 1.0, RED
FeatureModel, 2405, 2405, 1.0, 1.0, RED
Glucose, 8360, 8360, 1.0, 1.0, RED
Interoperability, 1427, 1427, 1.0, 1.0, RED
Lingeling, 8551, 8551, 1.0, 1.0, RED
Linux, 8748, 8748, 1.0, 1.0, RED
Metamodels, 691, 691, 1.0, 1.0, RED
MiniSAT, 7984, 7984, 1.0, 1.0, RED
Operations, 1762, 1762, 1.0, 1.0, RED
Packages, 1066, 1066, 1.0, 1.0, RED
ParserTechnology, 5381, 5381, 1.0, 1.0, RED
PicoSAT, 8171, 8171, 1.0, 1.0, RED
SPLOT, 2081, 2081, 1.0, 1.0, RED
SimpleParse, 7592, 7592, 1.0, 1.0, RED
Solvers, 1597, 1597, 1.0, 1.0, RED
System, 881, 881, 1.0, 1.0, RED
UVL, 2240, 2240, 1.0, 1.0, RED
Utils, 5201, 5201, 1.0, 1.0, RED
ValidConfiguration, 3063, 3063, 1.0, 1.0, RED
ValidModel, 2894, 2894, 1.0, 1.0, RED
ValidProduct, 3234, 3234, 1.0, 1.0, RED
Win, 31, 31, 1.0, 1.0, RED
antlr4-python3-runtime, 7409, 7409, 1.0, 1.0, RED
ebnf, 8794, 8794, 1.0, 1.0, RED
lark-parser, 7776, 7776, 1.0, 1.0, RED
pip, 4463, 4463, 1.0, 1.0, RED
pipdeptree, 4420, 4420, 1.0, 1.0, RED
pkg-resources, 5001, 5001, 1.0, 1.0, RED
pyPicosat, 6183, 6183, 1.0, 1.0, RED
pybind11, 8812, 8812, 1.0, 1.0, RED
pycosat, 5855, 5855, 1.0, 1.0, RED
pycryptosat, 6523, 6523, 1.0, 1.0, RED
pydepqbf, 7227, 7227, 1.0, 1.0, RED
pyglucose, 6352, 6352, 1.0, 1.0, RED
pylgl, 6018, 6018, 1.0, 1.0, RED
python-sat, 5694, 5694, 1.0, 1.0, RED
satispy, 6871, 6871, 1.0, 1.0, RED
satyrn, 6696, 6696, 1.0, 1.0, RED
setuptools, 4641, 4641, 1.0, 1.0, RED
six, 8817, 8817, 1.0, 1.0, RED
umo, 7048, 7048, 1.0, 1.0, RED
wheel, 4820, 4820, 1.0, 1.0, RED
