Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Glucose, 1, 1, 1.0, 1.0, RED
Lingeling, 1, 1, 1.0, 1.0, RED
Linux, 1, 1, 1.0, 1.0, RED
MiniSAT, 1, 1, 1.0, 1.0, RED
PicoSAT, 1, 1, 1.0, 1.0, RED
SimpleParse, 1, 1, 1.0, 1.0, RED
Win, 1, 1, 1.0, 1.0, RED
antlr4-python3-runtime, 1, 1, 1.0, 1.0, RED
lark-parser, 1, 1, 1.0, 1.0, RED
pipdeptree, 1, 1, 1.0, 1.0, RED
pyPicosat, 2939, 2939, 1.0, 1.0, RED
pybind11, 1, 1, 1.0, 1.0, RED
pycryptosat, 1, 1, 1.0, 1.0, RED
pydepqbf, 1, 1, 1.0, 1.0, RED
pyglucose, 1, 1, 1.0, 1.0, RED
satispy, 1, 1, 1.0, 1.0, RED
satyrn, 1, 1, 1.0, 1.0, RED
six, 1, 1, 1.0, 1.0, RED
umo, 1, 1, 1.0, 1.0, RED
