Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
AAFMFramework, 201, 201, 1.0, 1.0, RED
APISolvers, 801, 801, 1.0, 1.0, RED
AllProducts, 729, 729, 1.0, 1.0, RED
AutomatedReasoning, 728, 728, 1.0, 1.0, RED
CNFModel, 698, 698, 1.0, 1.0, RED
CoreFeatures, 833, 833, 1.0, 1.0, RED
DeadFeatures, 759, 759, 1.0, 1.0, RED
DecisionModel, 858, 858, 1.0, 1.0, RED
DepMng, 610, 610, 1.0, 1.0, RED
ErrorDetection, 866, 866, 1.0, 1.0, RED
ErrorDiagnosis, 949, 949, 1.0, 1.0, RED
FeatureIDE, 461, 461, 1.0, 1.0, RED
FeatureModel, 731, 731, 1.0, 1.0, RED
Glucose, 3550, 3550, 1.0, 1.0, RED
Interoperability, 843, 843, 1.0, 1.0, RED
Lingeling, 3176, 3176, 1.0, 1.0, RED
Linux, 2979, 2979, 1.0, 1.0, RED
Metamodels, 904, 904, 1.0, 1.0, RED
MiniSAT, 2041, 2041, 1.0, 1.0, RED
Operations, 549, 549, 1.0, 1.0, RED
Packages, 918, 918, 1.0, 1.0, RED
ParserTechnology, 1164, 1164, 1.0, 1.0, RED
PicoSAT, 2457, 2457, 1.0, 1.0, RED
SPLOT, 465, 465, 1.0, 1.0, RED
SimpleParse, 1260, 1260, 1.0, 1.0, RED
Solvers, 610, 610, 1.0, 1.0, RED
System, 909, 909, 1.0, 1.0, RED
UVL, 498, 498, 1.0, 1.0, RED
Utils, 1171, 1171, 1.0, 1.0, RED
ValidConfiguration, 545, 545, 1.0, 1.0, RED
ValidModel, 509, 509, 1.0, 1.0, RED
ValidProduct, 557, 557, 1.0, 1.0, RED
Win, 672, 672, 1.0, 1.0, RED
antlr4-python3-runtime, 1050, 1050, 1.0, 1.0, RED
ebnf, 1586, 1586, 1.0, 1.0, RED
lark-parser, 1328, 1328, 1.0, 1.0, RED
pip, 789, 789, 1.0, 1.0, RED
pipdeptree, 2038, 2038, 1.0, 1.0, RED
pkg-resources, 837, 837, 1.0, 1.0, RED
pyPicosat, 497, 497, 1.0, 1.0, RED
pybind11, 1973, 1973, 1.0, 1.0, RED
pycosat, 575, 575, 1.0, 1.0, RED
pycryptosat, 659, 659, 1.0, 1.0, RED
pydepqbf, 1016, 1016, 1.0, 1.0, RED
pyglucose, 635, 635, 1.0, 1.0, RED
pylgl, 446, 446, 1.0, 1.0, RED
python-sat, 416, 416, 1.0, 1.0, RED
satispy, 775, 775, 1.0, 1.0, RED
satyrn, 726, 726, 1.0, 1.0, RED
setuptools, 742, 742, 1.0, 1.0, RED
six, 2192, 2192, 1.0, 1.0, RED
umo, 834, 834, 1.0, 1.0, RED
wheel, 785, 785, 1.0, 1.0, RED
