Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Glucose, 6, 6, 1.0, 1.0, RED
Lingeling, 6, 6, 1.0, 1.0, RED
Linux, 6, 6, 1.0, 1.0, RED
MiniSAT, 7, 7, 1.0, 1.0, RED
PicoSAT, 6, 6, 1.0, 1.0, RED
SimpleParse, 7, 7, 1.0, 1.0, RED
antlr4-python3-runtime, 7, 7, 1.0, 1.0, RED
lark-parser, 7, 7, 1.0, 1.0, RED
pipdeptree, 6, 6, 1.0, 1.0, RED
pybind11, 6, 6, 1.0, 1.0, RED
pycryptosat, 7, 7, 1.0, 1.0, RED
pydepqbf, 7, 7, 1.0, 1.0, RED
pyglucose, 7, 7, 1.0, 1.0, RED
satispy, 7, 7, 1.0, 1.0, RED
satyrn, 7, 7, 1.0, 1.0, RED
six, 6, 6, 1.0, 1.0, RED
umo, 7, 7, 1.0, 1.0, RED
