Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 96, 96, 101, 0.7729008197784424, AAFMFramework
1, 5, 100, 99, 195, 202, 0.7676620483398438, Metamodels
2, 7, 100, 95, 290, 303, 0.7383084297180176, System
3, 8, 100, 89, 379, 404, 0.7740566730499268, Packages
4, 11, 100, 95, 474, 505, 0.7394466400146484, AutomatedReasoning
5, 12, 100, 94, 568, 606, 0.8958544731140137, Interoperability
6, 14, 100, 86, 654, 707, 0.8622488975524902, Solvers
7, 17, 100, 84, 738, 808, 0.8813917636871338, Operations
8, 24, 100, 76, 814, 909, 0.890841007232666, FeatureIDE
9, 23, 100, 72, 886, 1010, 0.8893985748291016, SPLOT
10, 22, 100, 66, 952, 1111, 0.87888503074646, UVL
11, 21, 100, 69, 1021, 1212, 0.8557772636413574, FeatureModel
12, 20, 100, 77, 1098, 1313, 0.8392584323883057, CNFModel
13, 19, 100, 77, 1175, 1414, 0.8627676963806152, DecisionModel
14, 18, 100, 75, 1250, 1515, 0.8158588409423828, ValidModel
15, 17, 100, 60, 1310, 1616, 0.8244524002075195, ValidConfiguration
16, 16, 100, 60, 1370, 1717, 0.7802190780639648, ValidProduct
17, 15, 100, 62, 1432, 1818, 0.7745413780212402, AllProducts
18, 14, 100, 56, 1488, 1919, 0.7408854961395264, DeadFeatures
19, 13, 100, 65, 1553, 2020, 0.733506441116333, CoreFeatures
20, 12, 100, 60, 1613, 2121, 0.7382349967956543, ErrorDetection
21, 11, 100, 46, 1659, 2222, 0.7197902202606201, ErrorDiagnosis
22, 10, 100, 53, 1712, 2323, 0.7006728649139404, DepMng
23, 13, 100, 56, 1768, 2424, 0.6962862014770508, pip
24, 13, 100, 47, 1815, 2525, 0.6963486671447754, setuptools
25, 12, 100, 51, 1866, 2626, 0.6798992156982422, wheel
26, 11, 100, 40, 1906, 2727, 0.6838569641113281, pkg-resources
27, 10, 100, 50, 1956, 2828, 0.6574301719665527, Utils
28, 11, 100, 50, 2006, 2929, 0.6573052406311035, ParserTechnology
29, 13, 100, 51, 2057, 3030, 0.6296725273132324, APISolvers
30, 22, 100, 65, 2122, 3131, 0.5975055694580078, python-sat
31, 21, 100, 89, 2211, 3232, 0.4428889751434326, pycosat
32, 20, 100, 86, 2297, 3333, 0.40623044967651367, pylgl
33, 19, 100, 94, 2391, 3434, 0.38381123542785645, pyPicosat
34, 17, 100, 88, 2479, 3535, 0.38621020317077637, pyglucose
35, 16, 100, 84, 2563, 3636, 0.3745872974395752, pycryptosat
36, 15, 100, 78, 2641, 3737, 0.3536663055419922, satyrn
37, 14, 100, 66, 2707, 3838, 0.3432009220123291, satispy
38, 13, 100, 45, 2752, 3939, 0.393857479095459, umo
39, 12, 100, 35, 2787, 4040, 0.3358795642852783, pydepqbf
40, 11, 100, 34, 2821, 4141, 0.3330874443054199, antlr4-python3-runtime
41, 10, 100, 21, 2842, 4242, 0.2949998378753662, SimpleParse
42, 9, 100, 16, 2858, 4343, 0.304685115814209, lark-parser
43, 9, 100, 2, 2860, 4444, 0.296677827835083, MiniSAT
44, 8, 100, 1, 2861, 4545, 0.29178357124328613, PicoSAT
45, 7, 100, 1, 2862, 4607, 0.3317093849182129, Glucose
46, 6, 100, 0, 2862, 4607, 0.31783318519592285, Lingeling
47, 5, 100, 0, 2862, 4607, 0.26689982414245605, Linux
48, 4, 100, 0, 2862, 4607, 0.2109682559967041, six
49, 3, 100, 0, 2862, 4607, 0.15927815437316895, pybind11
