Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 0, 100, 92, 92, 0, 0.6837060451507568, AAFMFramework
1, 0, 100, 87, 179, 0, 0.7190158367156982, Metamodels
2, 0, 100, 78, 257, 0, 0.629645824432373, DecisionModel
3, 0, 100, 79, 336, 0, 0.6317760944366455, AutomatedReasoning
4, 0, 100, 92, 428, 0, 0.824615478515625, Operations
5, 0, 100, 77, 505, 0, 0.8264298439025879, System
6, 0, 100, 85, 590, 0, 0.769972562789917, Solvers
7, 0, 100, 78, 668, 0, 0.7772552967071533, PicoSAT
8, 0, 100, 76, 744, 0, 0.7847979068756104, DeadFeatures
9, 0, 100, 63, 807, 0, 0.7606568336486816, Win
10, 0, 100, 54, 861, 0, 0.7564818859100342, Interoperability
11, 0, 100, 53, 914, 0, 0.7600464820861816, Packages
12, 0, 100, 60, 974, 0, 0.7382736206054688, UVL
13, 0, 100, 45, 1019, 0, 0.7530059814453125, ParserTechnology
14, 0, 100, 45, 1064, 0, 0.7417120933532715, DepMng
15, 0, 100, 48, 1112, 0, 0.7298121452331543, pkg-resources
16, 0, 100, 50, 1162, 0, 0.7375349998474121, wheel
17, 0, 100, 56, 1218, 0, 0.7288310527801514, CNFModel
18, 0, 100, 46, 1264, 0, 0.7162034511566162, FeatureIDE
19, 0, 100, 57, 1321, 0, 0.691901683807373, Glucose
20, 0, 100, 46, 1367, 0, 0.713564395904541, ValidModel
21, 0, 100, 48, 1415, 0, 0.6599335670471191, ErrorDetection
22, 0, 100, 33, 1448, 0, 0.6677777767181396, FeatureModel
23, 0, 100, 26, 1474, 0, 0.6573216915130615, MiniSAT
24, 0, 100, 36, 1510, 0, 0.6245152950286865, setuptools
25, 0, 100, 38, 1548, 0, 0.6183547973632812, Lingeling
26, 0, 100, 32, 1580, 0, 0.6122136116027832, SPLOT
27, 0, 100, 24, 1604, 0, 0.6223421096801758, APISolvers
28, 0, 100, 49, 1653, 0, 0.5485248565673828, Utils
29, 0, 100, 47, 1700, 0, 0.5651607513427734, pycryptosat
30, 0, 100, 40, 1740, 0, 0.49536633491516113, SimpleParse
31, 0, 100, 40, 1780, 0, 0.4869248867034912, antlr4-python3-runtime
32, 0, 100, 41, 1821, 0, 0.475222110748291, six
33, 0, 100, 41, 1862, 0, 0.4594306945800781, pybind11
34, 0, 100, 36, 1898, 0, 0.45139551162719727, lark-parser
35, 0, 100, 46, 1944, 0, 0.4317641258239746, CoreFeatures
36, 0, 100, 28, 1972, 0, 0.41844749450683594, pip
37, 0, 100, 35, 2007, 0, 0.388516902923584, ErrorDiagnosis
38, 0, 100, 17, 2024, 0, 0.3816218376159668, pipdeptree
39, 0, 100, 21, 2045, 0, 0.35446834564208984, pydepqbf
40, 0, 100, 19, 2064, 0, 0.30777454376220703, pyglucose
41, 0, 100, 19, 2083, 0, 0.23015618324279785, pycosat
42, 0, 100, 17, 2100, 0, 0.11776375770568848, pylgl
43, 0, 100, 7, 2107, 0, 0.09876489639282227, ebnf
44, 0, 100, 1, 2108, 0, 0.0801401138305664, AllProducts
45, 0, 100, 0, 2108, 0, 0.07103943824768066, ValidConfiguration
46, 0, 100, 0, 2108, 0, 0.06071329116821289, python-sat
