Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 50, 50, 101, 0.04685044288635254, AAFMFramework
1, 3, 100, 25, 75, 202, 0.04787492752075195, System
2, 4, 100, 20, 95, 303, 0.04767298698425293, Packages
3, 7, 100, 11, 106, 404, 0.05154776573181152, Solvers
4, 9, 100, 4, 110, 473, 0.053461551666259766, python-sat
5, 8, 100, 0, 110, 473, 0.045157432556152344, pycosat
6, 7, 100, 0, 110, 473, 0.03739142417907715, pyPicosat
7, 5, 100, 0, 110, 473, 0.03220391273498535, pyglucose
8, 4, 100, 0, 110, 473, 0.025575876235961914, MiniSAT
9, 3, 100, 0, 110, 473, 0.019242525100708008, PicoSAT
10, 2, 100, 0, 110, 473, 0.012523174285888672, Glucose
11, 1, 100, 0, 110, 473, 0.006464719772338867, Linux
