Feature, Visits, Acc. Reward, Q-value, Normalized value, Color
Application, 1, 1, 1.0, 1.0, RED
Authentication, 482, 482, 1.0, 1.0, RED
BackEnd, 669, 669, 1.0, 1.0, RED
Cassandra, 1, 1, 1.0, 1.0, RED
ClusteredSession, 2, 2, 1.0, 1.0, RED
Cucumber, 2171, 2171, 1.0, 1.0, RED
Database, 954, 954, 1.0, 1.0, RED
Development, 1318, 1318, 1.0, 1.0, RED
DiskBased, 3082, 3082, 1.0, 1.0, RED
Docker, 2542, 2542, 1.0, 1.0, RED
EhCache, 1, 1, 1.0, 1.0, RED
ElasticSearch, 4033, 4033, 1.0, 1.0, RED
Gatling, 4328, 4328, 1.0, 1.0, RED
Generator, 301, 301, 1.0, 1.0, RED
Gradle, 1604, 1604, 1.0, 1.0, RED
H2, 1406, 1406, 1.0, 1.0, RED
HTTPSession, 0, 0, 0, 0, WHITE
HazelCast, 3832, 3832, 1.0, 1.0, RED
Hibernate2ndLvlCache, 1784, 1784, 1.0, 1.0, RED
InMemory, 1, 1, 1.0, 1.0, RED
InternationalizationSupport, 2357, 2357, 1.0, 1.0, RED
JHipster, 201, 201, 1.0, 1.0, RED
JWT, 1, 1, 1.0, 1.0, RED
Libsass, 2, 2, 1.0, 1.0, RED
MariaDB, 1, 1, 1.0, 1.0, RED
MariaDBDev, 1, 1, 1.0, 1.0, RED
Maven, 1, 1, 1.0, 1.0, RED
MicroserviceApplication, 4235, 4235, 1.0, 1.0, RED
MicroserviceGateway, 0, 0, 0, 0, WHITE
MongoDB, 1, 1, 1.0, 1.0, RED
Monolithic, 0, 0, 0, 0, WHITE
MySQL, 3454, 3454, 1.0, 1.0, RED
MySql, 1, 1, 1.0, 1.0, RED
OAuth2, 0, 0, 0, 0, WHITE
PostgreSQL, 1, 1, 1.0, 1.0, RED
PostgreSQLDev, 1, 1, 1.0, 1.0, RED
Production, 1596, 1596, 1.0, 1.0, RED
Protractor, 0, 0, 0, 0, WHITE
SQL, 2162, 2162, 1.0, 1.0, RED
Server, 858, 858, 1.0, 1.0, RED
SocialLogin, 2, 2, 1.0, 1.0, RED
SpringWebSockets, 2, 2, 1.0, 1.0, RED
TestingFrameworks, 1798, 1798, 1.0, 1.0, RED
Uaa, 1230, 1230, 1.0, 1.0, RED
UaaServer, 18, 18, 1.0, 1.0, RED
