Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 71, 71, 101, 0.1962287425994873, JHipster
1, 11, 100, 21, 92, 167, 0.1233367919921875, Generator
2, 12, 100, 0, 92, 167, 0.045918941497802734, Server
3, 8, 100, 0, 92, 167, 0.0426793098449707, Authentication
4, 9, 100, 0, 92, 167, 0.04062795639038086, Uaa
5, 7, 100, 0, 92, 167, 0.03828930854797363, BackEnd
6, 8, 100, 0, 92, 167, 0.03708910942077637, Gradle
7, 6, 100, 0, 92, 167, 0.03450798988342285, TestingFrameworks
8, 7, 100, 0, 92, 167, 0.032344818115234375, Database
9, 9, 100, 0, 92, 167, 0.03030252456665039, SQL
10, 10, 100, 0, 92, 167, 0.028977394104003906, InternationalizationSupport
11, 9, 100, 0, 92, 167, 0.026028871536254883, Docker
12, 8, 100, 0, 92, 167, 0.02395176887512207, Development
13, 11, 100, 0, 92, 167, 0.02178192138671875, H2
14, 9, 100, 0, 92, 167, 0.01950383186340332, DiskBased
15, 7, 100, 0, 92, 167, 0.01696467399597168, Production
16, 9, 100, 0, 92, 167, 0.014786720275878906, MySQL
17, 6, 100, 0, 92, 167, 0.012637138366699219, Hibernate2ndLvlCache
18, 7, 100, 0, 92, 167, 0.010795116424560547, HazelCast
19, 5, 100, 0, 92, 167, 0.008550167083740234, ElasticSearch
20, 4, 100, 0, 92, 167, 0.006646633148193359, MicroserviceApplication
21, 2, 100, 0, 92, 167, 0.0045659542083740234, Gatling
22, 1, 100, 0, 92, 167, 0.002877473831176758, Cucumber
