Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 1, 100, 73, 73, 101, 0.24511146545410156, JHipster
1, 11, 100, 60, 133, 202, 0.24968266487121582, Generator
2, 12, 100, 56, 189, 303, 0.24172163009643555, Server
3, 8, 100, 39, 228, 404, 0.1880197525024414, Authentication
4, 9, 100, 32, 260, 505, 0.19103264808654785, Uaa
5, 7, 100, 28, 288, 606, 0.17840194702148438, BackEnd
6, 8, 100, 22, 310, 707, 0.18203282356262207, Gradle
7, 6, 100, 11, 321, 808, 0.15388989448547363, TestingFrameworks
8, 7, 100, 13, 334, 909, 0.17344117164611816, Database
9, 9, 100, 13, 347, 1009, 0.1719226837158203, SQL
10, 10, 100, 20, 367, 1110, 0.2291395664215088, InternationalizationSupport
11, 9, 100, 11, 378, 1211, 0.21996688842773438, Docker
12, 8, 100, 16, 394, 1312, 0.19994425773620605, Development
13, 11, 100, 5, 399, 1413, 0.1833484172821045, H2
14, 9, 100, 5, 404, 1514, 0.1840682029724121, DiskBased
15, 7, 100, 7, 411, 1615, 0.16892361640930176, Production
16, 9, 100, 0, 411, 1716, 0.15262174606323242, MySQL
17, 6, 100, 0, 411, 1768, 0.13622212409973145, Hibernate2ndLvlCache
18, 7, 100, 0, 411, 1768, 0.10567998886108398, HazelCast
19, 5, 100, 0, 411, 1768, 0.08496832847595215, ElasticSearch
20, 4, 100, 0, 411, 1768, 0.06510806083679199, MicroserviceApplication
21, 2, 100, 0, 411, 1768, 0.04225587844848633, Gatling
22, 1, 100, 0, 411, 1768, 0.021079301834106445, Cucumber
