Step, Decisions, Simulations, Evaluations, Positive Evaluations, Tree Size, Time (s), Choice
0, 0, 100, 79, 79, 0, 0.21036744117736816, JHipster
1, 0, 100, 59, 138, 0, 0.21293401718139648, Authentication
2, 0, 100, 47, 185, 0, 0.19823670387268066, BackEnd
3, 0, 100, 46, 231, 0, 0.1948258876800537, Maven
4, 0, 100, 47, 278, 0, 0.1771101951599121, Uaa
5, 0, 100, 39, 317, 0, 0.16231727600097656, TestingFrameworks
6, 0, 100, 33, 350, 0, 0.15871095657348633, InternationalizationSupport
7, 0, 100, 5, 355, 0, 0.14357304573059082, ClusteredSession
8, 0, 100, 12, 367, 0, 0.1414625644683838, Generator
9, 0, 100, 4, 371, 0, 0.12219858169555664, Cucumber
10, 0, 100, 8, 379, 0, 0.11219072341918945, Gatling
11, 0, 100, 7, 386, 0, 0.11411237716674805, Protractor
12, 0, 100, 7, 393, 0, 0.11191129684448242, Libsass
13, 0, 100, 3, 396, 0, 0.0959475040435791, Application
14, 0, 100, 2, 398, 0, 0.08657622337341309, SpringWebSockets
15, 0, 100, 4, 402, 0, 0.08915281295776367, Docker
16, 0, 100, 1, 403, 0, 0.07303786277770996, MicroserviceGateway
17, 0, 100, 1, 404, 0, 0.05465078353881836, Database
18, 0, 100, 1, 405, 0, 0.049684762954711914, MongoDB
