Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"flat Monte Carlo", 1, 0, 1, 2, 2, 1.0, 0, 0.009991168975830078
"flat Monte Carlo", 250, 0, 250, 167, 82, 0.49101796407185627, 0, 1.5853374004364014
"flat Monte Carlo", 500, 0, 500, 257, 127, 0.49416342412451364, 0, 3.1424429416656494
"flat Monte Carlo", 750, 0, 750, 358, 194, 0.5418994413407822, 0, 4.550959825515747
"flat Monte Carlo", 1000, 0, 1000, 464, 226, 0.4870689655172414, 0, 6.293211460113525
"flat Monte Carlo", 1250, 0, 1250, 494, 248, 0.5020242914979757, 0, 7.835314512252808
"flat Monte Carlo", 1500, 0, 1500, 581, 272, 0.46815834767641995, 0, 9.583731174468994
"flat Monte Carlo", 1750, 0, 1750, 599, 296, 0.4941569282136895, 0, 11.096678018569946
"flat Monte Carlo", 2000, 0, 2000, 694, 325, 0.46829971181556196, 0, 12.602012872695923
"flat Monte Carlo", 2250, 0, 2250, 734, 358, 0.4877384196185286, 0, 14.19664716720581
"flat Monte Carlo", 2500, 0, 2500, 790, 401, 0.5075949367088608, 0, 15.858476877212524
"flat Monte Carlo", 2750, 0, 2750, 847, 391, 0.46162927981109797, 0, 17.466033220291138
"flat Monte Carlo", 3000, 0, 3000, 885, 405, 0.4576271186440678, 0, 18.9801185131073
"flat Monte Carlo", 3250, 0, 3250, 894, 442, 0.49440715883668906, 0, 20.411783933639526
"flat Monte Carlo", 3500, 0, 3500, 977, 462, 0.4728761514841351, 0, 22.078948974609375
"flat Monte Carlo", 3750, 0, 3750, 957, 465, 0.48589341692789967, 0, 24.107200145721436
"flat Monte Carlo", 4000, 0, 4000, 1033, 504, 0.4878993223620523, 0, 25.330647945404053
"flat Monte Carlo", 4250, 0, 4250, 1074, 507, 0.4720670391061452, 0, 26.823258638381958
"flat Monte Carlo", 4500, 0, 4500, 1125, 522, 0.464, 0, 28.91539716720581
"flat Monte Carlo", 4750, 0, 4750, 1158, 542, 0.4680483592400691, 0, 29.906490802764893
"flat Monte Carlo", 5000, 0, 5000, 1172, 557, 0.47525597269624575, 0, 31.61201548576355
