Run, Algorithm, StoppingCondition, Exploration Weight, ExecutionTime, Features, Valid Config, Reward, Nodes, Simulations, Configuration
0, "UCT Algorithm", 1, 0.5, 0.19251275062561035, 43, True, 10, 86, 43, "['wheel', 'DecisionModel', 'Win', 'ParserTechnology', 'pycryptosat', 'CoreFeatures', 'ErrorDiagnosis', 'pydepqbf', 'FeatureIDE', 'pyglucose', 'pipdeptree', 'ValidModel', 'setuptools', 'SPLOT', 'UVL', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'six', 'AllProducts', 'FeatureModel', 'pip', 'PicoSAT', 'Utils', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
1, "UCT Algorithm", 1, 0.5, 0.23440074920654297, 39, True, 14, 78, 39, "['lark-parser', 'MiniSAT', 'DecisionModel', 'ParserTechnology', 'pycryptosat', 'FeatureIDE', 'pydepqbf', 'ValidModel', 'UVL', 'setuptools', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'Linux', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'AllProducts', 'six', 'pip', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'ErrorDetection', 'ebnf', 'AAFMFramework', 'pkg-resources']"
2, "UCT Algorithm", 1, 0.5, 0.21843814849853516, 42, True, 11, 84, 42, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'Win', 'ParserTechnology', 'ValidConfiguration', 'ErrorDiagnosis', 'pydepqbf', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Glucose', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'ValidProduct', 'six', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'ErrorDetection', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
3, "UCT Algorithm", 1, 0.5, 0.2543196678161621, 45, True, 8, 90, 45, "['lark-parser', 'DecisionModel', 'Win', 'MiniSAT', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'FeatureIDE', 'pyglucose', 'pydepqbf', 'pipdeptree', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'python-sat', 'Glucose', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'AllProducts', 'FeatureModel', 'six', 'DepMng', 'ValidProduct', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
4, "UCT Algorithm", 1, 0.5, 0.21445107460021973, 46, True, 7, 92, 46, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'CoreFeatures', 'pydepqbf', 'pipdeptree', 'FeatureIDE', 'setuptools', 'SPLOT', 'UVL', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'Linux', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'AllProducts', 'six', 'ValidProduct', 'pip', 'Utils', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
5, "UCT Algorithm", 1, 0.5, 0.27631378173828125, 46, True, 7, 92, 46, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'FeatureIDE', 'pipdeptree', 'ValidModel', 'UVL', 'setuptools', 'System', 'pycosat', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'AllProducts', 'FeatureModel', 'DepMng', 'ValidProduct', 'six', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
6, "UCT Algorithm", 1, 0.5, 0.2353990077972412, 43, True, 10, 86, 43, "['lark-parser', 'wheel', 'MiniSAT', 'DecisionModel', 'ValidConfiguration', 'ParserTechnology', 'pydepqbf', 'pyglucose', 'FeatureIDE', 'pipdeptree', 'ValidModel', 'setuptools', 'UVL', 'SPLOT', 'System', 'pycosat', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'six', 'FeatureModel', 'AllProducts', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework', 'pkg-resources']"
7, "UCT Algorithm", 1, 0.5, 0.19849729537963867, 38, True, 15, 76, 38, "['lark-parser', 'wheel', 'DecisionModel', 'ParserTechnology', 'pycryptosat', 'pydepqbf', 'FeatureIDE', 'pipdeptree', 'setuptools', 'UVL', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'pip', 'PicoSAT', 'Utils', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
8, "UCT Algorithm", 1, 0.5, 0.26431965827941895, 48, True, 5, 96, 48, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'FeatureIDE', 'pydepqbf', 'pipdeptree', 'ValidModel', 'UVL', 'setuptools', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'AllProducts', 'six', 'ValidProduct', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
9, "UCT Algorithm", 1, 0.5, 0.21448874473571777, 37, True, 16, 74, 37, "['lark-parser', 'wheel', 'MiniSAT', 'Win', 'DecisionModel', 'ParserTechnology', 'pydepqbf', 'pipdeptree', 'setuptools', 'UVL', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'DepMng', 'six', 'CNFModel', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'satyrn', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
