Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"Greedy MCTS", 1, 0, 1, 2, 1, 0.5, 0, 0.011966943740844727
"Greedy MCTS", 100, 0, 100, 71, 38, 0.5352112676056338, 0, 0.5515861511230469
"Greedy MCTS", 200, 0, 200, 121, 89, 0.7355371900826446, 0, 0.9835052490234375
"Greedy MCTS", 300, 0, 300, 175, 90, 0.5142857142857142, 0, 1.560899019241333
"Greedy MCTS", 400, 0, 400, 133, 77, 0.5789473684210527, 0, 1.1819705963134766
"Greedy MCTS", 500, 0, 500, 143, 111, 0.7762237762237763, 0, 1.4985356330871582
"Greedy MCTS", 600, 0, 600, 120, 66, 0.55, 0, 1.5528700351715088
"Greedy MCTS", 700, 0, 700, 278, 139, 0.5, 0, 3.244943857192993
"Greedy MCTS", 800, 0, 800, 146, 90, 0.6164383561643836, 0, 1.9348998069763184
"Greedy MCTS", 900, 0, 900, 91, 58, 0.6373626373626373, 0, 1.1715354919433594
"Greedy MCTS", 1000, 0, 1000, 243, 133, 0.5473251028806584, 0, 3.281400203704834
