Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"MCTS UCT Algorithm", 1, 0, 1, 2, 2, 1.0, 0, 0.009997844696044922
"MCTS UCT Algorithm", 100, 0, 100, 70, 38, 0.5428571428571428, 0, 0.5775160789489746
"MCTS UCT Algorithm", 200, 0, 200, 118, 63, 0.5338983050847458, 0, 1.0392436981201172
"MCTS UCT Algorithm", 300, 0, 300, 133, 74, 0.556390977443609, 0, 1.365574598312378
"MCTS UCT Algorithm", 400, 0, 400, 218, 113, 0.518348623853211, 0, 2.180203914642334
"MCTS UCT Algorithm", 500, 0, 500, 196, 93, 0.4744897959183674, 0, 2.166344404220581
"MCTS UCT Algorithm", 600, 0, 600, 264, 191, 0.7234848484848485, 0, 2.864407539367676
"MCTS UCT Algorithm", 700, 0, 700, 179, 127, 0.7094972067039106, 0, 2.5153064727783203
"MCTS UCT Algorithm", 800, 0, 800, 207, 149, 0.7198067632850241, 0, 2.9021456241607666
"MCTS UCT Algorithm", 900, 0, 900, 297, 236, 0.7946127946127947, 0, 4.160538673400879
"MCTS UCT Algorithm", 1000, 0, 1000, 296, 179, 0.6047297297297297, 0, 3.8894336223602295
