Method, Iterations, Decisions, Simulations, Evaluations, PositiveEvaluations, Percentage, TreeSize, Time
"flat Monte Carlo", 1, 0, 1, 2, 2, 1.0, 0, 0.01099538803100586
"flat Monte Carlo", 100, 0, 100, 76, 49, 0.6447368421052632, 0, 0.6502885818481445
"flat Monte Carlo", 200, 0, 200, 127, 61, 0.48031496062992124, 0, 1.2476937770843506
"flat Monte Carlo", 300, 0, 300, 178, 86, 0.48314606741573035, 0, 1.8860487937927246
"flat Monte Carlo", 400, 0, 400, 224, 106, 0.4732142857142857, 0, 2.564227342605591
"flat Monte Carlo", 500, 0, 500, 253, 129, 0.5098814229249012, 0, 3.1351723670959473
"flat Monte Carlo", 600, 0, 600, 289, 146, 0.5051903114186851, 0, 3.860300064086914
"flat Monte Carlo", 700, 0, 700, 337, 171, 0.5074183976261127, 0, 4.404163360595703
"flat Monte Carlo", 800, 0, 800, 375, 185, 0.49333333333333335, 0, 4.957843780517578
"flat Monte Carlo", 900, 0, 900, 388, 184, 0.4742268041237113, 0, 5.714692831039429
"flat Monte Carlo", 1000, 0, 1000, 441, 216, 0.4897959183673469, 0, 6.269557952880859
